label,text
real,"HR Assistant — Galle. Hands-on with VLANs, routing protocols, IPv6 and firewalls. HND or equivalent diploma acceptable with experience. Design, implement and maintain scalable services. Competitive salary and health insurance. Apply via company website: https://careers.techwave.io/jobs/1962"
fake,Training happens on WhatsApp group. Join now: https://tinyurl.com/w0vy68en. Processing fee of Rs 500 refundable after first month. Limited seats hurry up. Chat on WhatsApp +94761978911 now to claim your spot
fake,Guaranteed  income  Rs  5000  weekly.  Use  your  own  money  to  buy  starter  kit.  Chat  on  WhatsApp  +94796829630  now  to  claim  your  spot
fake,Rs  10000  for  liking  and  commenting  posts.  Training  happens  on  WhatsApp  group.  Contact  via  WhatsApp  only  +94709184345.  No  interview  required.  Processing  fee  of  Rs  1000  refundable  after  first  month
fake,Fill the form: https://short.gy/2d1yga0idm. Limited seats hurry up. Payment via USDT or Bitcoin only
real,"Accountant — Remote. Hands-on with VLANs, routing protocols, IPv6 and firewalls. Salary: Rs 200000 - Rs 220000 (based on experience). HND or equivalent diploma acceptable with experience. Responsibilities include collaborating with cross-functional teams. Hybrid work, learning budget and annual bonus. Submit application through our ATS: https://careers.techwave.io/jobs/8458"
fake,EARN  RS  7500/DAY  FOR  SIMPLE  COPY  PASTE  WORK.  NO  INTERVIEW  REQUIRED.  USE  YOUR  OWN  MONEY  TO  BUY  STARTER  KIT.  PAY  RS  1000  REGISTRATION  FEE  TO  START  WORK  FROM  HOME
real,"HR Assistant — Galle. Knowledge of Linux, Docker and CI/CD pipelines. Salary: Rs 200000 - Rs 380000 (based on experience). Professional certifications are a plus (AWS, CCNA, PMP). Maintain network infrastructure and documentation. Flexible hours, EPF/ETF and transport allowance. Submit application through our ATS: https://careers.oceanic.com/jobs/4774"
real,"Frontend Developer — Galle. Knowledge of Linux, Docker and CI/CD pipelines. BSc in Information Systems or related field. Design, implement and maintain scalable services. Hybrid work, learning budget and annual bonus. Email your CV to careers@oceanic.com with subject 'Frontend Developer - Galle'"
fake,CONTACT VIA WHATSAPP ONLY +94749476902. GUARANTEED INCOME RS 2500 WEEKLY. FILL THE FORM: HTTPS://SHORT.GY/JZQFE8E5T. LIMITED SEATS HURRY UP
fake,Fill the form: https://short.gy/8ufkgg. Pay Rs 500 registration fee to start work from home. Rs 2500 for liking and commenting posts. Payment via USDT or Bitcoin only
